time_step	spot_number	coord_y	coord_x	blob_sigma	brightness_median	brightness_total	size_mask	bbox_y_min	bbox_y_max	bbox_x_min	bbox_x_max
0	0	576.0	803.0	0.7	111.5	1995.0	6.0	574	578	801	805
0	1	567.0	775.0	0.7	107.0	1864.0	2.0	565	569	773	777
0	2	540.0	775.0	0.7	123.5	2074.0	2.0	538	542	773	777
0	3	521.0	567.0	0.7	137.0	2427.0	6.0	519	523	565	569
0	4	503.0	469.0	1.1777777777777776	162.5	2690.0	14.0	501	505	467	471
0	5	499.0	436.0	1.1777777777777776	161.5	2818.0	10.0	497	501	434	438
0	6	499.0	434.0	0.7	128.0	2255.0	7.0	497	501	432	436
0	7	491.0	536.0	1.6555555555555554	158.5	3634.0	20.0	488	494	533	539
0	8	482.0	790.0	0.7	120.0	2254.0	7.0	480	484	788	792
0	9	482.0	488.0	0.7	122.5	2077.0	2.0	480	484	486	490
0	10	475.0	618.0	0.7	115.0	2420.0	9.0	473	477	616	620
0	11	474.0	817.0	1.1777777777777776	202.0	3121.0	16.0	472	476	815	819
0	12	447.0	841.0	0.7	126.5	2183.0	5.0	445	449	839	843
0	13	445.0	940.0	1.1777777777777776	155.0	2609.0	10.0	443	447	938	942
0	14	405.0	824.0	0.7	114.0	2105.0	5.0	403	407	822	826
1	0	586.0	621.0	0.7	132.0	2337.0	5.0	584	588	619	623
1	1	542.0	792.0	0.7	127.0	2343.0	6.0	540	544	790	794
1	2	524.0	566.0	0.7	138.5	2240.0	4.0	522	526	564	568
1	3	513.0	970.0	1.1777777777777776	166.0	2845.0	13.0	511	515	968	972
1	4	513.0	623.0	0.7	136.0	2457.0	8.0	511	515	621	625
1	5	504.0	470.0	1.1777777777777776	171.5	2900.0	11.0	502	506	468	472
1	6	500.0	435.0	1.1777777777777776	149.0	2640.0	8.0	498	502	433	437
1	7	490.0	537.0	1.6555555555555554	187.5	3355.0	23.0	487	493	534	540
1	8	481.0	791.0	0.7	124.0	2041.0	3.0	479	483	789	793
1	9	478.0	898.0	1.1777777777777776	126.0	2319.0	6.0	476	480	896	900
1	10	476.0	616.0	0.7	145.0	2435.0	9.0	474	478	614	618
1	11	475.0	817.0	1.6555555555555554	138.0	3163.0	15.0	472	478	814	820
1	12	470.0	931.0	0.7	133.5	2199.0	7.0	468	472	929	933
1	13	449.0	840.0	0.7	119.5	2229.0	5.0	447	451	838	842
1	14	442.0	938.0	1.1777777777777776	154.0	2749.0	13.0	440	444	936	940
1	15	403.0	824.0	0.7	114.5	1944.0	5.0	401	405	822	826
2	0	585.0	621.0	0.7	117.0	2007.0	5.0	583	587	619	623
2	1	568.0	386.0	0.7	122.5	2249.0	4.0	566	570	384	388
2	2	565.0	774.0	0.7	119.0	2039.0	2.0	563	567	772	776
