time_step	nuc_nicd_sum	nuc_nicd_mean	nuc_area	cyt_nicd_sum	cyt_nicd_mean	cyt_area	all_nicd_sum	all_nicd_mean	all_area
0	1031327	10.486505815485376	78548	3347462	26.914478296036666	134139	4378789	20.58794848768378	212687
1	2212893	25.67931156848829	81487	4414219	33.85928156828387	133688	6627112	30.79870802834902	215175
2	3300357	40.504078586552815	82469	4720055	34.784641573247626	131921	8020412	37.41038294696581	214390
3	3943066	49.328306025913484	83416	4713852	33.62763131233537	131748	8656918	40.23404472867208	215164
4	4217532	53.971566449104294	83298	4636965	32.230968160852626	132760	8854497	40.98203723074359	216058
5	4294503	56.23158045257927	81380	4275700	29.830316794512296	128725	8570203	40.790095428476235	210105
6	4148075	56.12309007769806	79475	4015309	28.03920148582509	127601	8163384	39.42216384322664	207076
7	3852668	54.28270142180095	76654	3805075	26.415982736257302	128552	7657743	37.317344522089996	205206
8	3596891	51.56072169224388	74933	3583020	24.811206138598035	128618	7179911	35.27327794999779	203551
9	3431255	48.50655587105395	75495	3432671	23.650310291719514	129851	6863926	33.42614903626075	205346
10	3180646	45.10599832214765	75628	3261641	22.833319994969532	129044	6442287	31.476152087242028	204672
11	2921962	42.15556237398089	73681	3151594	22.37737580436104	128060	6073556	30.10570979622387	201741
12	2688474	38.37295009698466	74082	3011773	21.068247238647775	131063	5700247	27.786429111116526	205145
13	2500209	35.82267061797263	73885	2848827	20.074904654637912	130749	5349036	26.13952715580011	204634
14	2222132	32.517896242012604	71920	2618737	18.87002146165142	128485	4840869	24.155430253736185	200405
15	2047831	29.973417216782597	71628	2466062	17.9958651003138	127752	4513893	22.6396479085164	199380
16	1939256	27.779574250245297	73060	2288427	16.898288225769143	125914	4227683	21.247414235025683	198974
17	1796222	25.883602850194137	72862	2225936	16.443487853698482	127243	4022158	20.100237375377926	200105
18	1622692	23.912430843706776	71163	2087385	15.655861090775987	125779	3710077	18.83842451076967	196942
19	1405236	22.284380979047086	66280	1957792	15.461180582615986	120436	3363028	18.011461256667882	186716
20	1209689	20.394086258383513	62466	1760037	14.914724882487494	113228	2969726	16.90283105854497	175694
21	1043062	18.517986738369967	59009	1610661	14.937841493102516	105541	2653723	16.127152841081738	164550
22	957153	17.555604395604394	56932	1555323	14.56695751138088	104661	2512476	15.548173497614377	161593
23	845139	16.66678070475539	52125	1370951	14.007193930938262	96167	2216090	14.944096782024655	148292
24	723265	15.64505536955962	46479	1237672	13.468961572943394	89709	1960937	14.39875025699768	136188
25	594225	15.463876511775938	39015	1030009	13.365689068677025	75430	1624234	14.192267027829962	114445
26	489261	15.12494057240658	32960	854377	13.153476753450912	63952	1343638	13.864516262175995	96912
27	351633	14.034742828882294	25174	663552	12.897440717565862	50828	1015185	13.357345859319492	76002
28	271526	13.205784373107207	20599	559988	13.089991827497329	42888	831514	13.097390016853844	63487
29	222870	12.349580432065702	18227	500841	12.711636375897765	39721	723711	12.488972872230276	57948
30	311410	13.26743602609132	24022	614522	12.924217930173857	47631	925932	12.922445675686992	71653
31	437272	11.6134163208852	37080	703386	12.1836991505941	58125	1140658	11.981072422666877	95205
32	510594	11.507375776397515	44488	777779	11.479361506190525	67958	1288373	11.457704142432812	112446
33	502058	10.68897368720811	46558	873757	10.864400473532895	80251	1375815	10.849505949893146	126809
34	507957	10.505426513845217	48133	853232	10.140399395440074	83254	1361189	10.36014978650856	131387
35	511082	9.919461768894564	50626	889219	9.813079261511085	89748	1400301	9.975501161183695	140374
36	465790	9.414903451109286	48818	859629	9.666975548514378	88887	1325419	9.625060818416179	137705
37	424238	9.22841872894156	45587	832429	9.519264607730113	87636	1256667	9.432808148743085	133223
38	394155	9.050664611828164	42671	841120	9.418182356336299	89207	1235275	9.366801134381777	131878
39	388353	8.589201174567028	43908	826159	9.515196307636616	87353	1214512	9.252649301772804	131261
