time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	2077664	12.839952653184577	127262	7509734	41.7315931722329	197564	9587398	29.51548829219336	324826
1	3257546	22.94600154281306	124619	7628874	40.8210929742062	192432	10886420	34.33649475951818	317051
2	4717172	37.687764950542565	121779	8039790	41.62701779336161	191753	12756962	40.687910643889616	313532
3	5808732	49.456625098486704	120500	8181421	40.76700667910418	192945	13990153	44.633517842045656	313445
4	6457647	57.834424194549456	118453	8039748	39.26814063066328	192610	14497395	46.60597692428865	311063
5	6804855	62.5782794704284	117237	7874515	38.0161015176143	192456	14679370	47.39974749187098	309693
6	6972441	65.27961387916066	116753	7615652	36.23636087047031	193156	14588093	47.07218247937298	309909
7	6841448	65.65233961465171	115193	7236604	34.6717491862258	190301	14078052	46.08290833862531	305494
8	6566860	64.80060968022894	113046	6745322	32.61975241754092	188788	13312182	44.104315617193556	301834
9	6086337	62.52707781808674	109492	6286296	30.685985360546013	187012	12372633	41.72838477727113	296504
10	5721255	59.358419255379104	108749	5830522	28.70387031917567	184566	11551777	39.38351942450949	293315
