time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	1464196	10.000314491781282	129485	3281623	21.11576249879122	166565	4745819	16.030464448572875	296050
1	2019282	14.340651892624617	131159	3524624	22.110610063767655	164333	5543906	18.761611143448892	295492
2	2726122	20.521788330178588	130864	3686635	22.519179375891657	163088	6412757	21.815660379925973	293952
3	3238767	25.732565983641116	128693	3723776	22.047159550158163	163477	6962543	23.83045144949858	292170
4	3598266	29.405538944377295	128010	3598242	20.94359005226673	162513	7196508	24.770871841472104	290523
5	3738222	31.40688582660158	125917	3451787	19.720830336450092	162272	7190009	24.948936288338555	288189
6	3703978	32.41765130332822	122248	3265256	18.499965161303166	161290	6969234	24.57954136658931	283538
7	3650456	32.57557411273486	121014	3128965	17.214742560088784	163808	6779421	23.80230810822198	284822
8	3501042	31.98746376811594	118338	2995138	16.02525532494621	167236	6496180	22.74779916939217	285574
9	3296209	31.023223526442003	115583	2864300	15.101101137811844	169309	6160509	21.62401541636831	284892
