time_step	nuc_nicd_sum	nuc_nicd_mean	nuc_area	cyt_nicd_sum	cyt_nicd_mean	cyt_area	all_nicd_sum	all_nicd_mean	all_area
0	509521	5.441101346378631	77221	1172355	8.712881794833697	138278	1681876	7.804565218400086	215499
1	729689	7.6224921979491755	85193	1372138	10.383991072334382	134889	2101827	9.550199471106223	220082
2	905305	9.561000406669377	88414	1452712	11.199333696915089	129957	2358017	10.798214964441248	218371
3	1024627	11.276793081823282	88654	1490052	11.398060784220757	128950	2514679	11.556216797485341	217604
4	1107584	12.701402871761017	88118	1492620	11.217598251222263	129348	2600204	11.956830033200593	217466
5	1163578	13.735555555555555	87295	1451528	10.663392432106075	130316	2615106	12.01734287329225	217611
6	1211303	14.157790612336067	88912	1398272	10.196412840480637	129541	2609575	11.945704568030651	218453
7	1230371	14.464018661724293	88347	1343554	9.778427046687735	128185	2573925	11.88704210001293	216532
8	1183326	14.234283470235953	86928	1271248	9.156718894446156	128305	2454574	11.404264215989183	215233
9	1157527	14.32713039440077	85347	1216927	8.835790812347783	126643	2374454	11.20078305580452	211990
10	1092355	13.834933746343141	83324	1140700	8.24909405073316	126158	2233055	10.659889632522127	209482
11	1050686	13.687834058971363	81428	1105224	7.933646478305222	126746	2155910	10.356288489436722	208174
12	1003415	13.51569606211869	78944	1066169	7.7225411540975815	125607	2069584	10.117691920352382	204551
13	928444	12.91338251595887	76608	999077	7.369413516857036	123830	1927521	9.616544766960358	200438
14	853915	12.43239076635969	73331	944519	7.107689513199322	121759	1798434	9.218483776718438	195090
15	789061	12.03950766052677	69910	889849	6.848093949827841	119001	1678910	8.887306721154406	188911
16	744606	11.777747650036153	67617	860379	6.659498690426652	118547	1604985	8.621349992479749	186164
17	700069	11.338580804717969	66015	843431	6.515801422550689	119303	1543500	8.328926493918562	185318
18	657631	11.028963110667997	64080	804635	6.2716498659582465	118144	1462266	8.024552199490737	182224
19	617596	10.58927731619376	62139	798308	6.1942317751676255	119290	1415904	7.804176840527148	181429
20	585376	10.239413155631986	60932	767276	6.054059594583188	117462	1352652	7.582385057793424	178394
21	569048	9.787709199445688	61794	770070	5.95611244791361	120442	1339118	7.3482626923330185	182236
22	555457	9.294330211726384	63186	740242	5.807454677995674	119040	1295699	7.110395882036592	182226
23	568881	8.976821506602072	66674	750237	5.789671835049612	122129	1319118	6.986742795400497	188803
24	562376	8.53949826527889	69155	723632	5.684853617227196	119952	1286008	6.800425156128541	189107
25	564087	8.402159475555937	70657	723084	5.676985048628248	120487	1287171	6.7340382120286275	191144
26	544103	8.006459563979432	71181	695082	5.489999756980729	120161	1239185	6.4762833042405745	191342
27	532132	7.672143579373104	71714	687384	5.389175814936703	121360	1219516	6.316313952163419	193074
28	493296	7.366724286949006	70222	664106	5.226308361894145	121863	1157402	6.025467891818726	192085
29	473318	6.963634793124299	70102	650023	5.180663525246969	120830	1123341	5.88346112752184	190932
30	442512	6.5888655645937195	68997	626203	5.025968770827383	120700	1068715	5.633800218242777	189697
31	435739	6.3456679086898795	69614	619813	4.999628511168632	119981	1055552	5.567404203697355	189595
32	421439	6.065211990725405	71104	609912	4.894789035015229	121507	1031351	5.3545799564926195	192611
33	427423	5.81010882341789	74720	608782	4.765846150285271	123894	1036205	5.217180057800558	198614
34	437380	5.638748521664337	78569	624085	4.772750642673522	127940	1061465	5.140042322610637	206509
35	431229	5.4319074049005005	80926	631276	4.705758055995774	131861	1062505	4.993279664641167	212787
36	405172	5.275929482782274	78304	605930	4.650229534122609	128223	1011102	4.895737603315789	206527
37	360676	5.027516506215189	72141	569617	4.577923626329953	122735	930293	4.773768960775057	194876
38	321244	4.943655595340989	65424	540294	4.641235011990408	115307	861538	4.766963055590906	180731
39	299362	4.77678313600924	62054	495736	4.677976919269544	105459	795098	4.746485347405873	167513
