time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	1502015	9.393039416938173	137652	4372840	26.94016366841796	179990	5874855	18.495208442208526	317642
1	2154820	14.33958262318676	136682	4637923	27.48216562765656	178478	6792743	21.55331577611372	315160
2	3097906	22.17559272615668	134799	4963883	28.59523000125244	176383	8061789	25.90699012153659	311182
3	3901794	29.22421559794743	132675	5162020	28.891710011260656	175707	9063814	29.391514420426613	308382
4	4534272	34.688524268029084	132230	5208354	28.388501444293468	174671	9742626	31.745175154202823	306901
5	4961885	38.77867553865653	131161	5188097	27.98568816020526	172801	10149982	33.39227271830031	303962
6	5205248	41.52247315065743	129337	5149747	27.2802495930548	172692	10354995	34.28477066771734	302029
7	5374654	43.42013819145944	128592	5036568	26.52578237099733	171702	10411222	34.67009663862748	300294
8	5408366	44.46354622635747	126665	4845815	25.641856853664624	168722	10254181	34.71439501399858	295387
9	5301158	44.68084616672246	123883	4733251	24.83268926832388	168953	10034409	34.266309470147114	292836
