time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	929176	4.635171797086952	181081	1717978	9.380239006341538	198943	2647154	6.9657547944340354	380024
1	1199624	6.316913537719601	182253	1720774	9.25665007480452	194774	2920398	7.745859049882369	377027
2	1482717	8.08011366172248	182755	1712968	9.097788239909764	190764	3195685	8.555615644719547	373519
3	1582185	8.78148799062683	181531	1652464	8.628455518414553	189107	3234649	8.727245992046148	370638
4	1663277	9.479976145694756	179661	1622794	8.269779811490476	190298	3286071	8.882257223097694	369959
5	1690985	9.88595894205353	175823	1591016	7.946391712803102	190872	3282001	8.95022021025648	366695
6	1709947	10.271867187372342	172487	1553678	7.592648048292789	192166	3263625	8.949946935854086	364653
7	1701727	10.545763754764387	167914	1546065	7.350041009751208	195540	3247792	8.93590935854331	363454
8	1672070	10.615196208934561	164629	1521605	7.078236055229621	197977	3193675	8.807562478282213	362606
9	1639666	10.70491198967837	161226	1487824	6.834845465352073	198790	3127490	8.687086129505355	360016
