time_step	nuc_on_nicd_sum	nuc_on_nicd_mean	nuc_on_area	cyt_on_nicd_sum	cyt_on_nicd_mean	cyt_on_area	all_on_nicd_sum	all_on_nicd_mean	all_on_area
0	534301	3.448163481018233	123918	1701474	10.362193564028683	180635	2235775	7.3411688605924095	304553
1	716681	5.16007510505767	121972	1669741	9.876030307927786	177573	2386422	7.96682301490594	299545
2	938053	7.6431949553336835	118595	1656816	9.749820063415488	173425	2594869	8.885929045955756	292020
3	1118871	9.801947948267603	115441	1631852	9.519781840498085	170056	2750723	9.634857809364021	285497
4	1235646	11.486202452162992	112043	1599204	9.261135275557635	167885	2834850	10.127068389014317	279928
5	1294415	12.743648726362437	108262	1516651	9.006896266075755	161609	2811066	10.416332247629423	269871
6	1308034	13.494279898933184	105075	1454752	8.740807410916364	158343	2762786	10.488220243111709	263418
7	1269194	13.765857221106446	101252	1383206	8.299666153862255	157155	2652400	10.264427821227754	258407
8	1211825	13.822277470147286	97053	1252021	7.900281884728087	148386	2463846	10.038526884480461	245439
9	1138121	13.448212083847102	93558	1151437	7.597967474915409	141478	2289558	9.741307714562875	235036
10	1052765	13.008472534532606	89815	1086717	7.253277977153848	139435	2139482	9.332527808069793	229250
